School,lon,lat
北京师范大学奥林匹克花园实验小学,116.540813,39.961527
安民学校西坝校区,116.52882,39.964
星河实验小学,116.525115,39.926508
中国传媒大学附属小学,116.559775,39.915164
樱花园实验学校-小学部,116.420295,39.974666
安民学校小武基校区,116.492047,39.854279
北京市朝阳区安民学校黎各庄分校,116.630718,39.973458
北马各庄小学,116.601358,39.953116
安民学校(定福庄校区),116.563557,39.917337
朝阳区安民学校,116.514838,39.978118
芳草地国际学校万和城实验小学,116.434422,39.990945
府学胡同小学朝阳学校,116.494058,39.935973
安民学校,116.521295,39.937935
花家地实验小学方舟校区,116.462491,39.980625
朝阳实验小学,116.448095,39.935873
北京市朝阳区日坛小学,116.502378,39.911441
北京市陈经纶中学分校望京实验学校宝星校区,116.481604,40.000434
垂杨柳中心小学金都分校高部,116.49625,39.90013
双馨实验学校,116.493123,39.851669
清华附中朝阳学校小学部,116.451355,39.950548
青苗国际双语学校阳光上东校区,116.48438,39.96337
朝阳区实验小学罗马嘉园分校,116.510014,39.924046
东方德才学校甜水园校区,116.485413,39.924999
新升小学,116.47296,39.864346
北京师范大学朝阳附属小学,116.369966,40.015603
朝阳师范学校附属小学西坝河校区,116.446329,39.965222
将台路小学,116.485695,39.972718
黄胄艺术实验小学,116.439042,39.962744
绿源学校,116.54011,39.92722
高家园小学,116.482754,39.978612
芳草地国际学校世纪小学,116.43302,39.994554
呼家楼中心小学万科青青分校,116.577139,39.866153
北京市朝阳区小武基小学,116.495978,39.858243
北京市朝阳区万子营民族小学,116.598947,39.863185
将台洼小学,116.511807,39.955429
北京市朝阳区黑庄户中心小学,116.593499,39.852542
白家庄小学科技园校区,116.475442,40.003459
北京市朝阳区朝阳第二实验小学双桥分校,116.602548,39.88849
垂杨柳中心小学杨柳校区中部,116.458358,39.885651
白家庄小学(本校北部),116.456201,39.930075
北京市陈经纶中学嘉铭分校小学部,116.423643,40.002365
呼家楼中心小学团结湖分校北校区,116.464525,39.931534
垂杨柳中心小学杨柳校区(高部),116.458751,39.889821
北京耀中国际学校,116.495435,39.926535
垂杨柳中心小学杨柳校区低部,116.457669,39.887094
白家庄小学南校区,116.457752,39.926217
芳草地国际学校远洋小学,116.495197,39.913467
芳草地国际学校(甘露园分校),116.512434,39.914551
中国教育科学研究院朝阳实验学校小学高部,116.397959,39.973317
北京陈经纶中学嘉铭分校秀园校区,116.413921,39.997644
北京市朝阳实验小学南校,116.459603,39.829993
陈经纶中学帝景南校,116.508114,39.877407
花家地实验小学西里校区,116.458694,39.988274
芳草地国际学校富力分校,116.558818,39.844863
朝阳区安慧北里小学,116.410495,39.999735
北京市朝阳区白家庄小学(迎曦分校),116.503903,39.93373
七天连锁酒店第四小学,116.449206,39.880556
康静里小学,116.565424,39.931227
和平中学小学部,116.426107,40.039968
北京市朝阳实验小学国际部,116.449256,39.926663
北京市朝阳区垂杨柳中心小学(杨柳校区),116.452745,39.887317
灰地小学,116.396196,39.964214
白家庄小学迎曦分校(西校区),116.498545,39.933371
北京市朝阳区博雅小学,116.630553,39.973218
北京陈经纶中学保利小学(北校区),116.602046,39.928118
首都师范大学金泽小学,116.56247,39.953972
中国音乐学院附属北京实验学校,116.403075,40.003103
朝阳师范学校附属小学黄胄艺术分校,116.436101,39.964412
朝阳师范学校附属小学-朝师附小,116.452042,39.973396
北京市朝阳区教育研究中心附属小学梵谷水郡校区,116.506888,39.959053
首都师范大学朝阳小学(南校区),116.601724,39.952553
中央美术学院附属实验学校小学部,116.485265,39.984191
北京市朝阳区教育研究中心附属小学红霞路校区,116.489501,39.963868
北京市陈经纶中学分校小学部利泽校区,116.46338,40.012352
vipkid美国小学,116.515636,39.936519
垂扬柳中心小学,116.458752,39.889832
垂杨柳中心小学馨园分校(高部),116.481448,39.869476
朝阳区实验小学(老君堂分校),116.513452,39.841961
北京市第十七中学小学部,116.522905,39.904521
朝阳区第二实验小学管庄校区(高部),116.592417,39.915726
北京市朝阳区白家庄小学(东辰分校),116.593728,39.853111
清华大学附属中学广华学校小学部,116.49887,39.88614
北京市朝阳区白家庄小学东辰分校,116.614043,39.872676
垂杨柳中心小学劲松分校低部北校区,116.453526,39.882941
朝阳区教育研究中心附属小学驼房营校区,116.503322,39.966871
北京市第十七中学小学部,116.528904,39.890491
北京市朝阳区安民学校(东八间校区),116.514372,39.977596
南磨房中心小学低部,116.474493,39.874564
呼家楼中心小学景新分校,116.574856,39.88073
北京市朝阳区实验小学博约分校,116.507212,39.823198
陈经纶安园校区小学部,116.410348,39.999798
北京市朝阳区实验小学(三里屯分校),116.456476,39.936057
芳草地国际学校朝丰分校,116.56388,39.857834
呼家楼中心小学团结湖分校(南校区),116.469625,39.926621
垂杨柳中心小学景园分校(东校区),116.522513,39.886722
垂杨柳中心小学劲松分校南校区低部,116.453521,39.877762
北京市朝阳区实验小学博远分校,116.54105,39.860993
北京市朝阳区芳草地国际学校(德贤分校),116.497963,40.061625
朝阳区教研中心附属小学,116.489504,39.963878
朝阳区教育研究中心附属小学(酒仙桥校区),116.493196,39.964334
北京英国学校(小学部),116.453589,39.944804
北京光明小学分校,116.5394,39.94993
五路居一中小学,116.40506,39.972992
八里桥小学部,116.617012,39.913896
白家庄小学(珑玺校区),116.530069,39.968673
朝阳师范学校附属小学西坝河校区(低部),116.451342,39.965584
南沙滩小学,116.37586,39.996528
朝阳实验小学(北区),116.447902,39.936774
呼家楼中心小学(东校区),116.472384,39.921048
八十中学枣营分校小学部,116.471779,39.946967
